,Dataset,Accuracy,Train_Accuracy,Loss,Train-Loss,PPL,PPL-Train
0,dataset,0.07867583834909717,0.08424854426181175,6.465698036429,5.537039273190048,642.7129516601562,253.92507934570312
1,dataset_sample,0.04833333333333333,0.07114285714285715,6.9008469581604,5.665920682386918,993.115478515625,288.85382080078125
2,dataset_l,0.09125107480653483,0.09696321957691457,6.110096924925504,5.34187551826801,450.38238525390625,208.90415954589844
3,dataset_st,0.1662725709372313,0.17107687771799218,5.189692608297688,4.718538564331126,179.4133758544922,112.00447082519531
